Track name,Artist name,Album,Playlist name,Type,ISRC
"Always On My Mind","Willie Nelson","Always On My Mind","Country","Playlist","USSM18100410"
"Emmylou","First Aid Kit","The Lion's Roar","Country","Playlist","GBDNH1100097"
"Take Me Home, Country Roads - Original Version","John Denver","John Denver's Greatest Hits","Country","Playlist","USRC10501258"
"Lost Highway","Hank Williams","Masterpieces: Hank Williams","Country","Playlist","GBQRF1200274"
"Move It On Over","Hank Williams","Complete Singles A's & B's 1946-1949","Country","Playlist","DKNA21202308"
"If I Had a Hammer","Peter, Paul and Mary","Peter, Paul and Mary","Country","Playlist","USWB16500045"
"Pink Houses","John Mellencamp","Words & Music: John Mellencamp's Greatest Hits (International Version - Brilliant Box Package)","Country","Playlist","USJM18300001"
"Galveston - Remastered 2001","Glen Campbell","Galveston (Remastered)","Country","Playlist","USCN10100748"
"I'm Movin' On","Hank Snow","Platinum Masters","Country","Playlist","USXTN1095793"
"The Pill","Loretta Lynn","50th Anniversary Collection","Country","Playlist","USMC17201049"
"The Little Old Log Cabin In The Lane","Fiddlin John Carson","Fiddlin John Carson Vol. 1 1923 - 1924","Country","Playlist","USA560521269"
"She Thinks I Still Care","George Jones","10 Great Songs","Country","Playlist","USCN18800027"
"Hey, Good Lookin' - Single Version","Hank Williams","40 Greatest Hits","Country","Playlist","USPR39400682"
"How Can A Poor Man Stand Such Times And Live - Remastered 2003","Alfred ""Blind"" Reed","Poor Man's Heaven - Blues And Tales Of The Great Depression - When The Sun Goes Down Series","Country","Playlist","USBB10300234"
"Walking The Floor Over You","Ernest Tubb","Big Bad Country","Country","Playlist","USA2P1010935"
"The Ghost of Tom Joad","Bruce Springsteen","The Ghost Of Tom Joad","Country","Playlist","USSM19501784"
"Country Feedback","R.E.M.","Out Of Time (U.S. Version)","Country","Playlist","USWB19901529"
"Not Ready To Make Nice","The Chicks","Taking The Long Way","Country","Playlist","USSM10601030"
"Sally Gooden","Eck Robertson","Birth Of Bluegrass, Vol. 2","Country","Playlist","GBQRF1008021"
"The Wild Side Of Life","Hank Thompson","Songs Of The Brazos Valley","Country","Playlist","USCN18900040"
"Help Me Make It Through The Night","Sammi Smith","Help Me Make It Through The Night","Country","Playlist","USA371181815"
"Detroit City","Bobby Bare","Super Hits","Country","Playlist","USRN19600339"
"You're Still The One","Shania Twain","Come On Over","Country","Playlist","USMR19887499"
"Shallow","Lady Gaga","A Star Is Born Soundtrack","Country","Playlist","USUM71813192"
"Waitin' Around To Die","Townes Van Zandt","For The Sake Of The Song","Country","Playlist","GBCEL0900034"
"D-I-V-O-R-C-E","Tammy Wynette","Stand By Your Man: The Very Best Of Tammy Wynette","Country","Playlist","USSM16800466"
"Passionate Kisses","Lucinda Williams","Lucinda Williams (Deluxe)","Country","Playlist","QMCNL1311407"
"9 To 5","Dolly Parton","Dolly Parton Slipcase","Country","Playlist","USRN19400384"
"Riders In the Sky","Vaughn Monroe","Best of Vaughn Monroe","Country","Playlist","SEWDL0471304"
"John Walker's Blues","Steve Earle","Jerusalem","Country","Playlist","USAR50210891"
"Rose Garden","Lynn Anderson","Rose Garden","Country","Playlist","USA560625406"
"A Good Year For the Roses","George Jones","George Jones - Songbook","Country","Playlist","SEWDL0335508"
"Jambalaya on the Bayou","Hank Williams","BD Rock: Hank Williams","Country","Playlist","FR8X00700514"
"Over Everything","Courtney Barnett","Lotta Sea Lice","Country","Playlist","USMTD1709998"
"Always on My Mind","Elvis Presley","Elvis 75","Country","Playlist","USRC10202061"
"Kodachrome","Paul Simon","There Goes Rhymin' Simon","Country","Playlist","USSM11002044"
"Don't Come Home A'Drinkin' (With Lovin' On Your Mind)","Loretta Lynn","50th Anniversary Collection","Country","Playlist","USMC16646194"
"Garden Party","Ricky Nelson","Med Hjartet På Rette Staden 2","Country","Playlist","USMC17216079"
"Harper Valley PTA","Jeannie C. Riley","Great Memories Vol 3","Country","Playlist","USESK0611990"
"The Prisoner's Song","Vernon Dalhart","Roaring '20s Jazz","Country","Playlist","USA560916051"
"The End of the World","Skeeter Davis","The Essential Skeeter Davis","Country","Playlist","USRC19901069"
"Rudolph, the Red-Nosed Reindeer (with The Pinafores)","Gene Autry","A Gene Autry Christmas","Country","Playlist","USSM10022781"
"The Devil Went Down To Georgia","The Charlie Daniels Band","Outlaws Super Hits","Country","Playlist","USSM17800035"
"Peace In The Valley","Red Foley","Peace In The Valley -The Best Of Red Foley","Country","Playlist","USA2P1150121"
"Don't Tell Me","Madonna","Music","Country","Playlist","USWB10002377"
"Nebraska","Bruce Springsteen","Nebraska","Country","Playlist","USSM18200421"
"Act Naturally","Buck Owens","All-Time Greatest Hits","Country","Playlist","DEC531049051"
"The Grand Tour","George Jones","Country 100","Country","Playlist","USSM17400695"
"White Lightnin'","George Jones","White Lightning and Other Favorites","Country","Playlist","DEBL61280801"
"This Tornado Loves You","Neko Case","Middle Cyclone","Country","Playlist","USEP40827102"
"Singing The Blues","Guy Mitchell","100 Essential Hits From The 50's","Country","Playlist","FR0W61128375"
"Will the Wolf Survive?","Los Lobos","How Will the Wolf Survive?","Country","Playlist","USWB10900771"
"Boulder to Birmingham - 2003 Remaster","Emmylou Harris","Pieces of the Sky (Expanded & Remastered)","Country","Playlist","USRE10301481"
"Okie From Muskogee","Merle Haggard","Best Of Merle Haggard","Country","Playlist","USJGN0700173"
"Country Blues","Dock Boggs","American Folk Music","Country","Playlist","USA370915263"
"Hello Walls","Faron Young","The Complete Capitol Hits Of Faron Young","Country","Playlist","USCA29500514"
"Delia's Gone","Johnny Cash","The Sound Of Johnny Cash","Country","Playlist","USSM11201673"
"Snowbird","Anne Murray","Anne Murray The Best Of...So Far - 20 Greatest Hits","Country","Playlist","CAE156900008"
"If You've Got the Money I've Got the Time","Lefty Frizzell","Look What Thoughts Will Do","Country","Playlist","USSM15000043"
"Behind Closed Doors","Charlie Rich","Behind Closed Doors (Expanded Edition)","Country","Playlist","USSM19928830"
"GMF","John Grant","Pale Green Ghosts","Country","Playlist","GBBRP1237703"
"Come Pick Me Up","Ryan Adams","Heartbreaker","Country","Playlist","TCABL1346100"
"The Gambler","Kenny Rogers","The Gambler","Country","Playlist","USCN17800055"
"Knoxville Girl","The Louvin Brothers","Tragic Songs Of Life / Nearer My God To Thee","Country","Playlist","DEZ650906519"
"The Battle Of New Orleans","Johnny Horton","The Best Of The 50's (Fifties)","Country","Playlist","USSM19916424"
"Truckin' - 2013 Remaster","Grateful Dead","American Beauty (2013 Remaster)","Country","Playlist","USWB11304517"
"Man Who Shot Liberty Valance","Gene Pitney","Something's Gotten Hold of My Heart: the Collection","Country","Playlist","UST7W0500556"
"Gone, Gone, Gone (Done Moved On)","Phil Everly","Raising Sand","Country","Playlist","USR020707505"
"Highway Patrolman","Bruce Springsteen","Nebraska","Country","Playlist","USSM18200425"
"State Trooper","Bruce Springsteen","Nebraska","Country","Playlist","USSM18200426"
"On the Other Hand","Randy Travis","I Told You So - The Ultimate Hits of Randy Travis","Country","Playlist","USWB18600039"
"Smoke! Smoke! Smoke! (That Cigarette)","Tex Williams","Vintage Collections","Country","Playlist","USCN18900039"
"There Stands The Glass","Webb Pierce","100 Country","Country","Playlist","USMC15384256"
"Impossible Germany","Wilco","Sky Blue Sky","Country","Playlist","USNO10750505"
"Rhinestone Cowboy","Glen Campbell","Rhinestone Cowboy","Country","Playlist","USCN18600038"
"Sunday Mornin' Comin' Down","Kris Kristofferson","Kristofferson","Country","Playlist","USSM10016823"
"$1000 Wedding - 2002 Remaster","Gram Parsons","Rhino Hi-Five: Gram Parsons (Vol. 2)","Country","Playlist","USRE10201412"
"A Shot in the Arm","Wilco","Summerteeth","Country","Playlist","USRE19800771"
"The Dance","Garth Brooks","Favorite Country Love Songs","Country","Playlist","US4K80404603"
"Cattails","Big Thief","U.F.O.F.","Country","Playlist","GBAFL1800348"
"Amarillo By Morning","George Strait","Strait From The Heart","Country","Playlist","USMC18212997"
"Games People Play - Remastered 2002","Joe South","Classic Masters","Country","Playlist","USCA20101395"
"Great Speckled Bird","Roy Acuff & His Crazy Tennesseans","101 Country Hits","Country","Playlist","USA371684692"
"She's Got You","Patsy Cline","Sentimentally Yours (With Bonus Tracks)","Country","Playlist","GBJUT1034708"
"Bird Dog","The Everly Brothers","The 50's Vol. 6","Country","Playlist","ES5530901184"
"Friends in Low Places","Garth Brooks","Not Available on Spotify","Country","Playlist",""
"Sing Me Back Home","Merle Haggard","Best Of Merle Haggard","Country","Playlist","USJGN0700174"
"Misunderstood","Wilco","Being There","Country","Playlist","USRE19600159"
"Lost Together","Blue Rodeo","Lost Together","Country","Playlist","CAW119200029"
"Blue Yodel No. 9 (Standin' on the Corner)","Jimmie Rodgers","RCA Country Legends","Country","Playlist","USRN10200093"
"The Coo Coo Bird","Clarence ""Tom"" Ashley","American Folk Music","Country","Playlist","USA370915238"
"Take Me Back To Tulsa","Bob Wills","The Best Of Bob Dylan's Theme Time Radio Hour Vol 2","Country","Playlist","USA560824724"
"He'll Have to Go","Jim Reeves","The Essential Jim Reeves","Country","Playlist","USRN19500172"
"The Long Black Veil","Lefty Frizzell","Look What Thoughts Will Do","Country","Playlist","USSM15900101"
"Oh, Lonesome Me","Don Gibson","Country 100","Country","Playlist","USRN10200036"
"Deep In the Heart of Texas","Gene Autry","The Essential Gene Autry","Country","Playlist","USSM14200004"
"Cool Water","Sons of the Pioneers","Cool Water And Seventeen Timeless Western Favorites","Country","Playlist","USJ3V1097234"
"Riding For The Feeling","Bill Callahan","Apocalypse","Country","Playlist","US58L1145005"
"Lonesome Town","Ricky Nelson","Greatest Love Songs","Country","Playlist","USEM38700117"
"Something To Talk About","Bonnie Raitt","Luck Of The Draw","Country","Playlist","USCA29100117"
"Blue","The Jayhawks","Tomorrow The Green Grass","Country","Playlist","USSM19503763"
"Seven Year Ache","Rosanne Cash","The Very Best Of Rosanne Cash","Country","Playlist","USSM18000151"
"Cocaine Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968","Johnny Cash","At Folsom Prison (Legacy Edition)","Country","Playlist","USSM16801302"
"Sweet Nothin's - Single Version","Brenda Lee","The Definitive Collection","Country","Playlist","USMC15919970"
"Don't Let Your Deal Go Down Blues (with The North Carolina Ramblers) - 78rpm Version","Charlie Poole","The Best Of Can't You Hear Me Callin' - Bluegrass: 80 Years Of American Music","Country","Playlist","USSM12500025"
"Gentle On My Mind","Glen Campbell","Glen Campbell - The Capitol Years 1965 - 1977","Country","Playlist","USCN18700047"
"On the Road Again - Live at Austin, Texas - Fall 1979","Willie Nelson","Honeysuckle Rose - Music From The Original Soundtrack","Country","Playlist","USSM10105948"
"Portland, Oregon","Loretta Lynn","Van Lear Rose","Country","Playlist","USIR10400185"
"Chatanoogie Shoe Shine Boy","Red Foley","Chattanoogie Shoe Shine Boy - Red Foley","Country","Playlist","GB6PA0700450"
"In the Jailhouse Now","Jimmie Rodgers","The Essential Jimmie Rodgers","Country","Playlist","USRN12800003"
"I Hope You Dance","Lee Ann Womack","I Hope You Dance","Country","Playlist","USMCN0000018"
"Are You Sure Hank Done It This Way","Waylon Jennings","Dreaming My Dreams","Country","Playlist","USRN10100176"
"Wanted Man","Johnny Cash","Little Fauss and Big Halsy (Original Soundtrack Recording)","Country","Playlist","USSM19902086"
"Flowers On the Wall","The Statler Brothers","Flowers On The Wall: The Essential Statler Brothers 1964-1969","Country","Playlist","USSM16500015"
"Teen Angel","Mark Dinning","The Music from American Graffiti","Country","Playlist","GBGQH0407158"
"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / With Band","The Soggy Bottom Boys","O Brother, Where Art Thou? (Soundtrack)","Country","Playlist","USMR10000139"
"I Threw It All Away","Bob Dylan","Nashville Skyline","Country","Playlist","USSM16900825"
"Sister","Angel Olsen","MY WOMAN","Country","Playlist","US38Y1628407"
"When I Stop Dreaming","The Louvin Brothers","The Very Best Of The Louvin Brothers","Country","Playlist","USXTN1040111"
"Bonaparte’s Retreat","W.M. Stepp","Early Country & Western Classics","Country","Playlist","USX7N0902708"
"The Man Comes Around","Johnny Cash","American IV: The Man Comes Around","Country","Playlist","USDJ20200643"
"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969","Johnny Cash","At San Quentin (Legacy Edition)","Country","Playlist","USSM10605606"
"Hold On, Hold On","Neko Case","Fox Confessor Brings The Flood (Bonus Track Version)","Country","Playlist","USEP40605103"
"Bouquet of Roses","Eddy Arnold","RCA Country Legends: Eddy Arnold","Country","Playlist","USRN19600001"
"Four Winds","Bright Eyes","Cassadaga","Country","Playlist","US2U60710302"
"Love Hurts - 2006 Remaster","The Everly Brothers","Definitive Pop: The Everly Brothers","Country","Playlist","USWB10603388"
"Man in the Long Black Coat","Bob Dylan","Oh Mercy","Country","Playlist","USSM10006000"
"Just One of the Guys","Jenny Lewis","The Voyager","Country","Playlist","USWB11401353"
"Merry Go 'Round","Kacey Musgraves","Same Trailer Different Park","Country","Playlist","USUM71208079"
"For the Good Times","Ray Price","Country 100","Country","Playlist","USSM19913577"
"Follow Your Arrow","Kacey Musgraves","Same Trailer Different Park","Country","Playlist","USUM71300707"
"Guitar Boogie","Arthur Smith","Arthur Smith","Country","Playlist","GBBXS1160725"
"Wide Open Spaces","The Chicks","Wide Open Spaces","Country","Playlist","USSM19702920"
"California Stars","Billy Bragg","Mermaid Avenue","Country","Playlist","USEE19800059"
"One's On The Way","Loretta Lynn","50th Anniversary Collection","Country","Playlist","USMC17123620"
"Dark As A Dungeon","Merle Travis","Folk Songs Of The Hills","Country","Playlist","USCN19000118"
"Hungry Eyes","Merle Haggard & The Strangers","A Portrait Of","Country","Playlist","USCN19000098"
"The Cave","Mumford & Sons","Sigh No More","Country","Playlist","GBUM70909075"
"Cattle Call","Eddy Arnold","Cattle Call","Country","Playlist","USRN19600039"
"Luckenbach, Texas (Back to the Basics of Love) (feat. Willie Nelson)","Waylon Jennings","Ultimate Waylon Jennings","Country","Playlist","USRN19600113"
"You Ain't Woman Enough (To Take My Man)","Loretta Lynn","50th Anniversary Collection","Country","Playlist","USMC16546185"
"My Silver Lining","First Aid Kit","Stay Gold","Country","Playlist","USSM11401643"
"Dallas","Jimmie Dale Gilmore and the Flatlanders","Unplugged","Country","Playlist","USSE60411638"
"Me and Bobby McGee","Kris Kristofferson","Kristofferson","Country","Playlist","USSM10016813"
"I've Just Seen A Face - Remastered","The Beatles","Help! (Remastered)","Country","Playlist","GBAYE0601476"
"The Titanic","Ernest Stoneman","Country Legend","Country","Playlist","USA371442286"
"I Will Wait","Mumford & Sons","Babel","Country","Playlist","GBUM71204769"
"Blue","LeAnn Rimes","Blue","Country","Playlist","USCRB9900370"
"The Ballad of Ira Hayes","Johnny Cash","The Essential Johnny Cash","Country","Playlist","USSM16400310"
"Help Me Make It Through the Night","Kris Kristofferson","Kristofferson","Country","Playlist","USSM10016815"
"Good Hearted Woman","Waylon Jennings","Good Hearted Woman","Country","Playlist","USRN11300077"
"If I Had A Boat","Lyle Lovett","Pontiac","Country","Playlist","USM1C0700076"
"Living Doll","Cliff Richard","Move It","Country","Playlist","VGA011014114"
"Fist City","Loretta Lynn","Fist City","Country","Playlist","USMC16819780"
"I Saw The Light - Single Version","Hank Williams","40 Greatest Hits","Country","Playlist","USPR34700130"
"Mammas Don't Let Your Babies Grow up to Be Cowboys","Waylon Jennings","Waylon & Willie","Country","Playlist","USRN10000382"
"Make the World Go Away","Eddy Arnold","Country 100","Country","Playlist","USRN19600049"
"Is a Woman","Lambchop","Is a Woman","Country","Playlist","USMRG0313103"
"Always Late (With Your Kisses)","Lefty Frizzell","Look What Thoughts Will Do","Country","Playlist","USSM15100024"
"Fancy","Bobbie Gentry","Fancy","Country","Playlist","USCN16900178"
"You Win Again - Single Version","Hank Williams","40 Greatest Hits","Country","Playlist","USPR35200131"
"Hello in There","John Prine","John Prine","Country","Playlist","USAT20104798"
"Islands In The Stream","Kenny Rogers","All The Hits And All New Love Songs","Country","Playlist","USRN19400390"
"Thunder on the Mountain","Bob Dylan","Modern Times","Country","Playlist","USSM10603292"
"Guitar Town","Steve Earle","Guitar Town (Deluxe)","Country","Playlist","USMC18519803"
"Six Days On The Road","Dave Dudley","On The Road","Country","Playlist","DEB790620369"
"Waiting for a Train","Jimmie Rodgers","Essential Jimmie Rodgers","Country","Playlist","USRN12800013"
"What Would You Give In Exchange?","The Monroe Brothers","The Monroe Brothers Complete RCA Victor Bluebird Recordings, Vol. 1","Country","Playlist","USCQE1010481"
"Sweet Dreams (Of You)","Patsy Cline","The Departed (Music from the Motion Picture)","Country","Playlist","USMC16347346"
"Slow Poke","Pee Wee King","Six Pack - Pee Wee King - EP","Country","Playlist","GBSWE0703412"
"Before the Next Teardrop Falls","Freddy Fender","The Freddy Fender Collection","Country","Playlist","USRE19901600"
"That Don't Impress Me Much","Shania Twain","Come On Over","Country","Playlist","USMR19900016"
"Oh My Sweet Carolina","Ryan Adams","Heartbreaker","Country","Playlist","TCABL1346078"
"Life Has Its Little Ups And Downs","Charlie Rich","The Fabulous Charlie Rich","Country","Playlist","USSM19913654"
"Hank and Lefty Raised My Country Soul","Stoney Edwards","Not Available on Spotify","Country","Playlist",""
"Jackson","Johnny Cash","Carryin' On With Johnny Cash And June Carter","Country","Playlist","USSM11201904"
"Working Man Blues","Merle Haggard","A Portrait Of","Country","Playlist","USCN18600024"
"Song Sung Blue - Single Version","Neil Diamond","Moods","Country","Playlist","USMC17246651"
"The Mountain","Steve Earle","The Mountain","Country","Playlist","US27Q0861577"
"The Three Bells","The Browns","Country 100","Country","Playlist","USRC18805873"
"Singing the Blues","Marty Robbins","The Essential Marty Robbins 1951-1982","Country","Playlist","USSM10025932"
"Blues Stay Away From Me","The Delmore Brothers","Delmore Brothers Volume 2, CD D","Country","Playlist","USA560603617"
"I Still Miss Someone - Lyrics","Johnny Cash","The Fabulous Johnny Cash (Hymns by Johnny Cash & Songs of Our Soil)","Country","Playlist","FR6V81248012"
"That’s Just the Way That I Feel","Purple Mountains","Purple Mountains","Country","Playlist","US58L1968001"
"Waiting For The Sun","The Jayhawks","Hollywood Town Hall","Country","Playlist","USSM19503748"
"Your Fucking Sunny Day","Lambchop","Old Enough to Know Better: 15 Years of Merge Records","Country","Playlist","USMRG0313048"
"To Be Young (Is to Be Sad, Is to Be High)","Ryan Adams","Heartbreaker","Country","Playlist","TCABL1346073"
"Hello Darlin","Conway Twitty","Greatest Hits - Finest Performances","Country","Playlist","USSE60414214"
"Gunpowder & Lead","Miranda Lambert","Crazy Ex-Girlfriend","Country","Playlist","USSM10605626"
"Big River","Johnny Cash","The Very Best of the Sun Years","Country","Playlist","GBAWA0513677"
"Rocky Mountain High","John Denver","Sunshine On My Shoulders: The Best Of John Denver","Country","Playlist","USRC10400929"
"Golden Ring","George Jones","Golden Ring","Country","Playlist","USSM19903509"
"The Tramp On The Street","Molly O'Day & The Cumberland Mountain Folks","Columbia Country Classics Volume 1: The Golden Age","Country","Playlist","USSM19926886"
"Try - 2012 Remaster","Blue Rodeo","Outskirts","Country","Playlist","CAW111200070"
"I'll Fly Away","The Chuck Wagon Gang","Little Brown Church in the Vale","Country","Playlist","US84U1010001"
"Born to Lose","Ted Daffan And His Texans","Born to Lose","Country","Playlist","GBDAG0401557"
"If We Make It Through December","Merle Haggard","If We Make It Through December","Country","Playlist","USCN17300089"
"Fujiyama Mama - Remastered","Wanda Jackson","Rockin' With Wanda (Expanded Edition)","Country","Playlist","USCN10200119"
"Keep My Skillet Good And Greasy","Uncle Dave Macon","Hooked On Country Classics Vol. 40","Country","Playlist","USQY51147454"
"Take This Job and Shove It","Johnny Paycheck","Johnny Paycheck - 16 Biggest Hits","Country","Playlist","USSM17700228"
"Man! I Feel Like A Woman!","Shania Twain","Come On Over","Country","Playlist","USMR19887508"
"It's Mighty Dark to Travel","Bill Monroe & His Blue Grass Boys","The Essential Bill Monroe (1945-1949)","Country","Playlist","USSM10027291"
"Independence Day","Martina McBride","The Way That I Am","Country","Playlist","USRN19300456"
"Pistol Packin' Mama","Al Dexter","Pistol Packin' Mama - The Best Of Al Dexter","Country","Playlist","GB8XC1085578"
"The Joke","Brandi Carlile","By the Way, I Forgive You","Country","Playlist","USAT21704692"
"The Year That Clayton Delaney Died","Tom T. Hall","In Search Of A Song","Country","Playlist","USPR37107140"
"Waltz Across Texas","Ernest Tubb","Waltz Across Texas","Country","Playlist","GBGQH0907507"
"Highlands","Bob Dylan","Time Out Of Mind","Country","Playlist","USSM19701404"
"Single Girl, Married Girl","The Carter Family","The Essential Carter Family","Country","Playlist","USRN10200704"
"Worried Man Blues","The Carter Family","The Essential Carter Family","Country","Playlist","USRN10400257"
"I'm a Man of Constant Sorrow","The Stanley Brothers","The Complete Columbia Stanley Brothers","Country","Playlist","USSM15000004"
"When","Kalin Twins","Jukebox Memories Of The 50's - Volume 2","Country","Playlist","GBQKL1100090"
"Kiss an Angel Good Mornin'","Charley Pride","Sings Heart Songs","Country","Playlist","USRN19500248"
"Teen Angst (What The World Needs Now)","Cracker","Cracker","Country","Playlist","USVI29200011"
"New San Antonio Rose","Bob Wills & His Texas Playboys","Columbia Country Classics Volume 1: The Golden Age","Country","Playlist","USSM19926876"
"People Got A Lotta Nerve","Neko Case","Middle Cyclone","Country","Playlist","USEP40827105"
"Big Rock Candy Mountain","Harry McClintock","Easter Basket Oldies But Goodies","Country","Playlist","USXTN1079891"
"Ramblin' Man - Single Version","Hank Williams","40 Greatest Hits","Country","Playlist","USPR35100123"
"Kingston","Faye Webster","Atlanta Millionaires Club","Country","Playlist","US38W1837601"
"Don't It Make You Want To Go Home - Remastered 2002","Joe South","Classic Masters","Country","Playlist","USCA20101401"
"Space Cowboy","Kacey Musgraves","Golden Hour","Country","Playlist","USUM71800140"
