Track name,Artist name,Album,Playlist name,Type,ISRC
"A Teenager In Love","Dion & The Belmonts","The Best Of Dion & The Belmonts","R&B","Playlist","USLA19200003"
"Wonderful World","Sam Cooke","Portrait of a Legend (Remastered)","R&B","Playlist","USA175920030"
"(You Make Me Feel Like) A Natural Woman","Aretha Franklin","Lady Soul (With Bonus Selections)","R&B","Playlist","USAT20801219"
"Fever","Little Willie John","Best Of The Best","R&B","Playlist","USACU0500284"
"Do You Love Me - Mono Single","The Contours","The Motown Story","R&B","Playlist","USMO16200263"
"We Are Family - 1995 Remaster","Sister Sledge","We Are Family (1995 Remaster)","R&B","Playlist","USAT20102166"
"Uptight (Everything's Alright) - Single Version","Stevie Wonder","Essential Stevie Wonder","R&B","Playlist","USMO16500487"
"Under My Thumb","The Rolling Stones","Aftermath (Remastered)","R&B","Playlist","USA176610050"
"What's Love Got To Do WIth It - 1997 Digital Remaster","Tina Turner","Tina Turner Love Songs","R&B","Playlist","USCA29700644"
"Baby Love - Mono","The Supremes","Where Did Our Love Go: 40th Anniversary Edition","R&B","Playlist","USMO16482615"
"For Your Love","The Yardbirds","The Yardbirds Story, Part 1","R&B","Playlist","GBAWA0515289"
"Take Me To The River","Al Green","The Legendary Hi Records Albums, Volume 2: Call Me + Livin’ For You + Al Green Explores Your Mind + Al Green Is Love","R&B","Playlist","GBAFR7410031"
"She's Gone","Daryl Hall & John Oates","Abandoned Luncheonette","R&B","Playlist","USAT20614606"
"The Great Pretender","The Platters","The Platters Greatest Hits","R&B","Playlist","USA560660143"
"Up on the Roof - Single Version; 2017 Remaster","The Drifters","Definitive Soul: The Drifters","R&B","Playlist","USAT20302320"
"Cold Sweat","James Brown","Classic","R&B","Playlist","USPR36707298"
"Sir Duke","Stevie Wonder","Songs In The Key Of Life (Reissue)","R&B","Playlist","USMO17600526"
"Say My Name","Destiny's Child","The Writing's On The Wall","R&B","Playlist","USSM19901056"
"Lawdy Miss Clawdy - Single Version","Lloyd Price","Specialty Profiles: Percy Mayfield","R&B","Playlist","USSPI5200160"
"Lonely Teardrops","Jackie Wilson","The Classic Collection - 90 Original Recordings","R&B","Playlist","GBCJQ1001455"
"Word Up","Cameo","Word Up","R&B","Playlist","USPR39402457"
"Save the Last Dance for Me - 2009 Remaster","The Drifters","Definitive Soul: The Drifters","R&B","Playlist","USAT20302316"
"Sh-Boom","The Chords","Atlantic 60th: At The Hop","R&B","Playlist","USAT29901556"
"I Can't Stop Loving You","Ray Charles","Six Pack - Ray Charles","R&B","Playlist","DEB790310577"
"At The Hop","Danny & The Juniors","Rock 'n' Roll","R&B","Playlist","USMC15919927"
"Bring It On Home To Me","Sam Cooke","Portrait of a Legend (Remastered)","R&B","Playlist","USRC16208391"
"I Feel for You","Chaka Khan","I Feel for You","R&B","Playlist","USWB18400025"
"Get Off Of My Cloud - Mono Version / Remastered 2002","The Rolling Stones","December's Children (And Everybody's) [Remastered]","R&B","Playlist","USA176510270"
"Flash Light","Parliament","The Best Of Parliament: Give Up The Funk","R&B","Playlist","USPR37700065"
"Superfly","Curtis Mayfield","Superfly (Original Soundtrack)","R&B","Playlist","USRH10284929"
"Electric Feel","MGMT","Oracular Spectacular","R&B","Playlist","USSM10702131"
"Soul Makossa","Manu Dibango","Anthology","R&B","Playlist","FR3M19000330"
"Kansas City","Wilbert Harrison","Platinum Masters","R&B","Playlist","USXTN1095964"
"Duke Of Earl","Gene Chandler","Original Solid Gold Hits Volume 2","R&B","Playlist","USA370508870"
"I Can’t Help Myself (Sugar Pie, Honey Bunch)","Four Tops","Golden Moments","R&B","Playlist","USMO16582593"
"Ain't Too Proud To Beg","The Temptations","Gettin' Ready","R&B","Playlist","USMO16690001"
"Sixteen Tons","Tennessee Ernie Ford","Melodies, Mambos, Waltzes & Memories: The First 75 British No. 1 Hits 1950-1957","R&B","Playlist","GBSUW0702061"
"On Broadway - 2018 Remaster","The Drifters","Definitive Soul: The Drifters","R&B","Playlist","USAT20302319"
"Fuck You","CeeLo Green","The Lady Killer (Deluxe)","R&B","Playlist","USAT21001785"
"Love and Happiness","Al Green","I'm Still in Love with You","R&B","Playlist","US2HK0913603"
"Someone Like You","Adele","21","R&B","Playlist","GBBKS1000351"
"Sorry","Justin Bieber","Purpose (Deluxe)","R&B","Playlist","USUM71516760"
"Back To Black","Amy Winehouse","Back To Black","R&B","Playlist","GBUM70604698"
"Devil with a Blue Dress On / Good Golly Miss Molly (Medley)","Mitch Ryder and The Detroit Wheels","Rev Up Best Of Mitch Ryder & Detroit Wheels","R&B","Playlist","GBAYE6600738"
"Think","Aretha Franklin","Definitive Soul: Aretha Franklin","R&B","Playlist","USAT29902238"
"Tell It Like It Is","Aaron Neville","Tell It Like It Is - The Par Lo Years","R&B","Playlist","NLG620403520"
"Stagger Lee","Lloyd Price","20th Century Masters: The Millennium Collection: Best Of Lloyd Price","R&B","Playlist","USMC15854301"
"Rock Your Baby","George McCrae","Rock Your Baby","R&B","Playlist","UST7W0200276"
"Honky Tonk Pt.1","Bill Doggett","The Original Sound Of R&B 1956","R&B","Playlist","GBVHF1105073"
"Cissy Strut","The Meters","The Meters","R&B","Playlist","USWB10403298"
"I Want to Take You Higher","Sly & The Family Stone","Sly & The Family Stone: The Woodstock Experience","R&B","Playlist","USSM19913824"
"Money Honey (with Clyde McPhatter) - Single Version","The Drifters","Definitive Soul: The Drifters","R&B","Playlist","USAT20110746"
"We Gotta Get Out Of This Place - UK Single Version","The Animals","Animal Tracks","R&B","Playlist","USA171360048"
"Give Up The Funk (Tear The Roof Off The Sucker)","Parliament","The Best Of Parliament: Give Up The Funk","R&B","Playlist","USPR37800052"
"Play by Play","Autre Ne Veut","Anxiety","R&B","Playlist","QMUJD1201301"
"Respect Yourself","The Staple Singers","The Very Best Of The Staple Singers","R&B","Playlist","USFI80700330"
"For Your Precious Love","Jerry Butler","Simply Soul","R&B","Playlist","NLHR51141297"
"Hot Fun in the Summertime","Sly & The Family Stone","Greatest Hits","R&B","Playlist","USSM19901654"
"Tighten Up","Archie Bell & The Drells","Atlantic Top 60: Sweat-Soaked Soul Classics","R&B","Playlist","USAT20505624"
"Pull Up To The Bumper","Grace Jones","Nightclubbing","R&B","Playlist","USIR28100268"
"Lean on Me - Single Version","Bill Withers","Still Bill","R&B","Playlist","USSM19909971"
"Are You That Somebody?","Aaliyah","I Care 4 U","R&B","Playlist","GBJLH0511127"
"19th Nervous Breakdown","The Rolling Stones","Hot Rocks 1964-1971 (Remastered)","R&B","Playlist","USA176610010"
"Into The Mystic","Van Morrison","Moondance","R&B","Playlist","USWB19900492"
"The First Time Ever I Saw Your Face","Roberta Flack","First Take","R&B","Playlist","USAT20107944"
"Adorn","Miguel","Kaleidoscope Dream","R&B","Playlist","USRC11200647"
"Love Train","The O'Jays","The Best Of The O'Jays: Love Train","R&B","Playlist","USSM17200242"
"Love Hangover","Diana Ross","Diana Ross - Universal Masters Collection","R&B","Playlist","USMO17600377"
"ABC","The Jackson 5","ABC","R&B","Playlist","USMO17082628"
"Have You Seen Her","The Chi-Lites","The Ultimate Chi-Lites","R&B","Playlist","USBWC0010046"
"Stay with Me - Single Version","Lorraine Ellison","Best of Loma Records-Rise and Fall of a 1960's Soul Label","R&B","Playlist","USWB10106854"
"You Are The Sunshine Of My Life","Stevie Wonder","Talking Book (Reissue)","R&B","Playlist","USMO17282852"
"What Becomes Of The Brokenhearted","Jimmy Ruffin","100 Essential Love Songs (Online version)","R&B","Playlist","USMO10400416"
"Crying in the Chapel","The Orioles","Fabulous Fifties (50s)","R&B","Playlist","GB8XC1013585"
"Wanna Be Startin' Somethin'","Michael Jackson","Michael Jackson's This Is It","R&B","Playlist","USSM19902986"
"Reet Petite - The Finest Girl You Ever Want to Meet","Jackie Wilson","Pin-Up Hits Collection","R&B","Playlist","GBURZ1002832"
"(Mama) He Treats Your Daughter Mean","Ruth Brown","The Best Of Bob Dylan's Theme Time Radio Hour","R&B","Playlist","USA560824897"
"I Will Always Love You","Whitney Houston","The Bodyguard - Original Soundtrack Album","R&B","Playlist","USAR19200110"
"Under the Boardwalk","The Drifters","Under the Boardwalk","R&B","Playlist","USAT20001017"
"Man in the Mirror - Remastered Version","Michael Jackson","Michael Jackson's This Is It","R&B","Playlist","USSM10905828"
"The Last Time - Remastered 2002","The Rolling Stones","Big Hits (High Tide and Green Grass)","R&B","Playlist","USA176510120"
"Limit To Your Love","James Blake","James Blake","R&B","Playlist","GBUM71028665"
"Nowhere To Run","Martha Reeves & The Vandellas","The Ultimate Collection: Martha Reeves & The Vandellas","R&B","Playlist","USMO16500445"
"I Can't Go for That (No Can Do)","Daryl Hall & John Oates","Private Eyes (Expanded Edition)","R&B","Playlist","USRC10301819"
"Careless Whisper - Extended Mix","George Michael","Make It Big","R&B","Playlist","GBBBM8400039"
"Me and Mrs. Jones","Billy Paul","360 Degrees Of Billy Paul","R&B","Playlist","USSM17200413"
"On & On","Erykah Badu","Baduizm","R&B","Playlist","USUR19700556"
"Countdown","Beyoncé","4","R&B","Playlist","USSM11102909"
"Baby I Need Your Loving","Four Tops","Four Tops","R&B","Playlist","USMO10111235"
"Drunk in Love (feat. Jay-Z)","Beyoncé","BEYONCÉ [Platinum Edition]","R&B","Playlist","USSM11307800"
"Love Galore (feat. Travis Scott)","SZA","Ctrl","R&B","Playlist","USRC11700886"
"Freddie's Dead","Curtis Mayfield","Beautiful Brother - The Essential","R&B","Playlist","NLHR51132801"
"Chameleon","Herbie Hancock","Head Hunters","R&B","Playlist","USSM17300165"
"Shake","Sam Cooke","Portrait of a Legend (Remastered)","R&B","Playlist","USA176420100"
"I'll Be Around","The Spinners","Spinners","R&B","Playlist","USAT20001179"
"I'd Rather Go Blind - Single Version","Etta James","Tell Mama The Complete Muscle Shoals Sessions (Remastered Reissue)","R&B","Playlist","USMC16746346"
"The Payback","James Brown","The Payback","R&B","Playlist","USF067400050"
"Shining Star","Earth, Wind & Fire","That's The Way Of The World","R&B","Playlist","USSM17400660"
"I'll Take You There","The Staple Singers","The Very Best Of The Staple Singers","R&B","Playlist","USFI80700331"
"If I Was Your Girlfriend","Prince","Sign ""O"" the Times","R&B","Playlist","USWB10003359"
"American Boy (feat. Kanye West)","Estelle","Shine","R&B","Playlist","USAT20706210"
"(No One Knows Me) Like the Piano","Sampha","Process","R&B","Playlist","UK7MC1600030"
"Yeah! (feat. Lil Jon & Ludacris)","USHER","Confessions (Expanded Edition)","R&B","Playlist","USAR10301423"
"Blue Moon - 2004 Remaster","The Marcels","Pure Rock 'N' Roll","R&B","Playlist","GBAYE0400288"
"Chanel","Frank Ocean","Chanel","R&B","Playlist","QZ5C81600019"
"That Lady, Pts. 1 & 2","The Isley Brothers","3 + 3","R&B","Playlist","USSM19900205"
"That's the Way (I Like It) - 2004 Remaster","KC & The Sunshine Band","KC & the Sunshine Band","R&B","Playlist","GBAYE0400454"
"Fallin'","Alicia Keys","Songs In A Minor (Expanded Edition)","R&B","Playlist","USJAY0100057"
